"Date_Time","Usage_kW","Adults","Children","House"
2019-01-12 01:00:00,1.8830405556,5,3,"House_1"
2019-01-12 02:00:00,1.87378000005,5,3,"House_1"
2019-01-12 03:00:00,2.22691111111667,5,3,"House_1"
2019-01-12 04:00:00,1.66267555555,5,3,"House_1"
2019-01-12 05:00:00,0.327901388816667,5,3,"House_1"
2019-01-12 06:00:00,0.3921661111,5,3,"House_1"
2019-01-12 07:00:00,0.585509722216667,4,2,"House_1"
2019-01-12 08:00:00,0.4382088889,2,1,"House_1"
2019-01-12 09:00:00,0.568982777766667,2,1,"House_1"
2019-01-12 10:00:00,0.5630911111,2,1,"House_1"
2019-01-12 11:00:00,0.616961944466667,4,2,"House_1"
2019-01-12 12:00:00,0.345703611116667,2,1,"House_1"
2019-01-12 13:00:00,0.871026666683333,4,2,"House_1"
2019-01-12 14:00:00,0.233308888883333,2,1,"House_1"
2019-01-12 15:00:00,0.202276666716667,2,1,"House_1"
2019-01-12 16:00:00,0.163906944416667,2,1,"House_1"
2019-01-12 17:00:00,0.1741936111,2,1,"House_1"
2019-01-12 18:00:00,0.177005833316667,2,1,"House_1"
2019-01-12 19:00:00,0.31505083325,2,1,"House_1"
2019-01-12 20:00:00,0.249853333333333,2,1,"House_1"
2019-01-12 21:00:00,0.313648611133333,2,1,"House_1"
2019-01-12 22:00:00,0.28032111115,5,3,"House_1"
2019-01-12 23:00:00,0.19856388895,5,3,"House_1"
2019-01-13 00:00:00,0.310943333366667,5,3,"House_1"
2019-01-13 01:00:00,0.383688055533333,5,3,"House_1"
2019-01-13 02:00:00,0.29279972225,5,3,"House_1"
2019-01-13 03:00:00,0.27035333335,5,3,"House_1"
2019-01-13 04:00:00,0.328150277816667,5,3,"House_1"
2019-01-13 05:00:00,0.439413055516667,5,3,"House_1"
2019-01-13 06:00:00,0.28875111115,5,3,"House_1"
2019-01-13 07:00:00,0.28427166675,2,1,"House_1"
2019-01-13 08:00:00,0.45272527775,2,1,"House_1"
2019-01-13 09:00:00,0.366094166683333,2,1,"House_1"
2019-01-13 10:00:00,0.3783263889,2,1,"House_1"
2019-01-13 11:00:00,0.29826805555,2,1,"House_1"
2019-01-13 12:00:00,0.295117777783333,2,1,"House_1"
2019-01-13 13:00:00,0.3452758333,2,1,"House_1"
2019-01-13 14:00:00,0.456212500016667,2,1,"House_1"
2019-01-13 15:00:00,0.19142972225,2,1,"House_1"
2019-01-13 16:00:00,0.340023055516667,2,1,"House_1"
2019-01-13 17:00:00,0.273277222233333,2,1,"House_1"
2019-01-13 18:00:00,0.273557499916667,2,1,"House_1"
2019-01-13 19:00:00,0.258062222283333,2,1,"House_1"
2019-01-13 20:00:00,0.923934444416667,4,2,"House_1"
2019-01-13 21:00:00,0.62205611105,4,2,"House_1"
2019-01-13 22:00:00,0.409431944466667,5,3,"House_1"
2019-01-13 23:00:00,0.378820555516667,5,3,"House_1"
2019-01-14 00:00:00,0.224314722183333,5,3,"House_1"
2019-01-14 01:00:00,0.190016388866667,5,3,"House_1"
2019-01-14 02:00:00,0.4224111111,5,3,"House_1"
2019-01-14 03:00:00,0.284013055533333,5,3,"House_1"
2019-01-14 04:00:00,0.286042499966667,5,3,"House_1"
2019-01-14 05:00:00,0.3350288889,5,3,"House_1"
2019-01-14 06:00:00,0.277730833283333,5,3,"House_1"
2019-01-14 07:00:00,0.401627222166667,2,1,"House_1"
2019-01-14 08:00:00,0.379624722166667,2,1,"House_1"
2019-01-14 09:00:00,0.382326388816667,2,1,"House_1"
2019-01-14 10:00:00,0.3700352778,2,1,"House_1"
2019-01-14 11:00:00,0.419728333333333,2,1,"House_1"
2019-01-14 12:00:00,0.461342777766667,2,1,"House_1"
2019-01-14 13:00:00,0.270253055566667,2,1,"House_1"
2019-01-14 14:00:00,0.229029722166667,2,1,"House_1"
